ids,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address,Avg Area Comfort
2941,74141.33111,4.994616743,6.669292686,3.4,46905.19295,Rs14246.568173263859,"666 Peterson Harbor Suite 876
Hoodshire, NM 56769-5455",
2942,74101.49304,6.284749966,6.874009026,3.46,34628.53932,"$1,337,973.73 ","0896 James Rest Apt. 398
Olsonfort, PR 42737-3822",
2943,42943.93601,6.289222852,?,,34468.87383,Rs11864.415347362754,"53018 Hunt Ranch
Fletcherville, FM 11404",
2944,71267.70625,5.579520822,8.105228297,4.4,36795.39817,"$1,308,231.77 ","96391 Deborah Glens Apt. 970
East Nicole, ND 32805-3760",
2945,72655.64873,7.545608876,7.201823309,4.1,23623.30007,Rs21494.6946227751,"8608 Christopher Springs Apt. 416
Brownton, GU 32886-6900",
2946,72531.1338,4.661801761,?,,15167.41107,"$578,161.50 ","7522 Chavez Meadow
North Jason, FM 78402",
2947,72259.58273,6.889373104,6.257776744,2,45598.89674,Rs19388.354013224067,"89810 Rachel Inlet Apt. 187
Christyland, MO 11000-1430",
2948,63593.95114,8.016627453,8.005870386,6.47,40186.29337,"$1,684,537.96 ","722 James Plaza Apt. 832
South Christophershire, PR 59771-1651",
2949,85696.20394,6.389427717,?,,24138.06628,Rs17962.80123006627,"34339 Hampton Turnpike
Mclaughlinborough, OK 38420",
2950,80077.9305,5.739521833,7.437009145,4.5,30774.39431,"$1,603,342.67 ","PSC 1954, Box 1271
APO AP 28196",0.644879857
2951,75339.91582,5.407478241,7.422156287,5.07,49307.20981,Rs18447.514323429397,"USNS Jensen
FPO AP 08769",
2952,54618.23625,6.002618021,?,,40673.9221,"$705,444.12 ","8031 Pennington Mission
Port Nicholas, MA 07353",
2953,66829.18388,5.57878808,7.343420851,4.22,48776.92661,Rs18907.276250542596,"09952 Newman Club Suite 825
Amberland, RI 48384-8566",
2954,82760.37627,6.13569401,6.778563744,4,33839.08519,"$1,457,755.98 ","76850 Angela Ranch Suite 680
Gamblefurt, CO 31477-5548",
2955,79769.0529,7.118266013,?,,22669.67412,Rs21565.405663113543,"202 Smith Knoll Apt. 637
North Joseph, ME 93313-2537",
2956,46800.37259,7.154695334,4.513353831,4.24,29587.13853,"$456,019.17 ","219 David Overpass Apt. 605
East Shannonland, HI 53312-1726",
2957,78186.28294,5.500904517,7.183912048,4.37,28130.26592,Rs17984.056391200986,"1355 Anna Village
Markmouth, IN 91104-9758",
2958,65091.30918,5.349422869,?,,49224.09281,"$1,579,360.82 ","614 Murphy Square
Jefferyberg, NH 38328",
2959,51218.67826,4.864411174,6.609634039,2.35,21091.58744,Rs5142.375555641645,"57906 Acosta Villages Suite 474
North Josephshire, MH 62971-7674",
2960,74095.71281,5.908764789,6.847362326,3,32774.02197,"$1,121,023.44 ","688 Matthew Dale Suite 274
Lake John, FL 43555",
2961,62769.03468,5.571587866,?,,43314.16108,Rs15714.048215723473,"63543 Jackson Knolls
Lake Lori, VT 96312",
2962,64836.65398,6.490523817,8.271982892,6.3,35163.51684,"$1,296,467.99 ","336 Tiffany Via
Christophertown, CA 97338-2426",
2963,59141.79644,5.631317375,4.198676629,2.17,29386.58045,Rs4182.020043110567,"52281 Nathaniel Road Suite 762
New Ericchester, FL 44640-9252",
2964,66698.73973,4.790645656,?,,51747.77676,"$1,530,294.58 ","169 Schneider Tunnel Apt. 560
Port Don, RI 23820",
2965,75892.50628,4.715683576,6.793215874,3.15,40908.89232,Rs16665.525264567157,"USS Barnett
FPO AA 60146-8106",
2966,70031.27304,4.623344495,9.188667262,4.13,36679.43203,"$1,270,432.40 ","67132 James Wall Apt. 108
Johnshire, GU 39221",
2967,79757.01856,3.962672206,?,,45130.82828,Rs14983.383122685766,"9321 Caleb Locks
Port Jennifer, OK 91266",
2968,60029.43264,5.714878538,7.990513702,6.01,32818.06713,"$1,005,087.36 ","6194 Rios Spring
North Jeanette, WI 16894-6620",
2969,70329.40988,5.988783205,8.343125221,4.36,48077.26496,Rs22830.430124845578,"6942 Hebert Via
Charlesmouth, PA 12757-7878",
2970,65907.94668,5.506412845,?,,33303.5431,"$698,457.68 ","423 Destiny Fort
Gravesmouth, TN 13035-8269",
2971,87068.24513,6.427781229,6.539577203,4.12,16083.14442,Rs17632.52143408632,"USCGC Johnson
FPO AP 53323",
2972,76327.21206,7.084664124,6.584016966,3.13,42939.27424,"$1,599,615.74 ","185 Mitchell Turnpike
Lake Marciamouth, OH 69530-5024",
2973,62315.5837,6.68246297,?,,47163.75462,Rs15230.189969045488,"83004 Kari Squares
Lake Rose, TX 01776",
2974,63579.89796,3.342599174,7.221147395,6.47,51246.10288,"$1,012,768.76 ","21810 Cross Mountains
Thomasmouth, HI 73708-6559",
2975,66197.67377,5.790273451,5.895335124,4.19,55849.46922,Rs16598.887300577175,"16466 Mason Roads Apt. 483
New Danaberg, RI 19799",0.502587347
2976,65984.29691,5.560929101,?,,40976.78683,"$1,016,526.59 ","99244 Murphy Trace
Jonesfort, MH 08157-7083",
2977,70894.14113,7.040707991,6.937166766,4.01,24878.46173,Rs18447.542615860384,"36848 Matthew Fork
South Melissa, CA 82348-6348",
2978,78186.23924,5.838063828,5.133465711,4.17,49617.73142,"$1,526,369.65 ","296 Cline Roads Apt. 767
Jessemouth, NE 63904",
2979,59539.4124,6.305095543,?,,14403.8353,Rs12819.934619276859,"531 Brian Lock
Davisview, MO 66345",
2980,77163.30057,5.052311501,7.514062032,6.06,27766.76194,"$1,228,362.75 ","8223 Henderson Plains Apt. 962
Garciaburgh, IN 38863-1765",
2981,67082.02587,6.244859498,9.028047222,4.45,40412.04776,Rs22329.076543179734,"6639 Mccullough Unions Suite 736
Merrittbury, AS 47809",
2982,53120.62925,6.812372827,?,,36100.57718,"$1,411,217.49 ","52362 Garner Orchard
Christopherberg, UT 37093",
2983,79095.27923,6.666808866,6.738533682,2.5,23624.24894,Rs19685.23401007108,"84108 Michelle Port Apt. 163
North Bobby, PW 48245-3014",
2984,71244.17075,6.477168821,5.331010176,2.36,15769.19997,"$751,324.14 ","245 Benjamin Valley Apt. 423
North Reneestad, VT 20890-3730",
2985,79058.93991,5.0180973,?,,35074.26481,Rs18222.858340703064,"919 Sawyer Square Apt. 247
Port William, IA 71873",
2986,84703.62823,5.918210783,6.883670877,2.36,51169.58559,"$1,718,625.95 ","Unit 9191 Box 9148
DPO AP 40640",
2987,73001.11125,4.728508129,8.461468275,3.38,45338.09139,Rs17931.59039608656,"1725 Torres Drive
Rodriguezland, DE 09997-1021",
2988,90972.40613,5.401913201,?,,24943.96194,"$1,442,079.06 ","3168 Jake Union Apt. 110
New Lisa, FM 38214-6178",
2989,77362.05456,6.03271483,5.382998154,3.31,24171.18247,Rs13345.22728539168,"719 Breanna Hills
Davidsonhaven, WY 33925-2459",
2990,70850.16582,6.433339399,8.575994509,5.23,42035.99199,"$1,553,395.56 ","457 Jones Court
Port Melinda, PA 73537-2284",
2991,81248.19697,7.939003735,?,,48922.5214,Rs26256.759106878566,"52177 Benjamin Avenue Apt. 465
Port Aprilstad, AS 08005",
2992,72173.33087,5.637312098,6.80926661,2.2,42946.08099,"$1,435,261.99 ","951 Ann Locks Suite 590
Edwardsstad, OH 89516-4794",
2993,46627.78948,5.276614898,6.40733952,3.28,37302.52534,Rs9584.995730203893,"Unit 8914 Box 7372
DPO AP 59681",
2994,82113.98201,6.744905835,?,,51561.26314,"$1,883,082.28 ","5738 Carly Rue Suite 254
East Emma, VA 03733-4170",
2995,62622.48379,6.03689561,8.84477396,6.16,48899.51382,Rs20032.57639667922,"88628 Andrew Pines
Joshuafort, CO 48304-5880",
2996,70607.28271,6.835841168,4.541466869,3.42,58793.2682,"$1,513,650.38 ","98001 James Lakes Apt. 948
South Josephtown, MN 32946",
2997,80335.96155,6.045000331,?,,56689.27907,Rs18803.52539702688,"USCGC Tyler
FPO AA 70076",
2998,58765.0402,5.506579633,4.882380596,4.12,30997.43904,"$647,691.84 ","57034 Perez Cliff Apt. 139
East Christianville, WY 76686",
2999,86849.84442,5.689341577,6.181227861,3.01,45178.46768,Rs22334.171875828368,"6522 Mark Pines Suite 273
Clarkborough, MO 71914",
3000,71918.66832,missing,?,,23690.69799,"$1,336,134.49 ","23916 Jackson Run
New Michelleborough, WV 24268-8683",0.178116375
3001,75513.24689,4.607911656,8.086981109,6.5,37175.07064,Rs18349.87487065436,"8593 Davis Court
Port Keith, VA 80809",
3002,66359.15485,6.54649533,8.041198572,6.42,32976.80797,"$1,680,017.24 ","637 Ian Motorway Apt. 029
West Jeffreyview, ME 13035-5854",
3003,68638.10785,6.445807262,?,,25380.41301,Rs15813.679345027114,"813 Mason Burg
East Richard, MP 69145-2326",
3004,86084.33523,6.143843489,6.776068462,4.33,24447.1067,"$1,460,044.55 ","USS Mason
FPO AA 65492-7228",
3005,55076.07222,5.955041901,6.499696377,4.06,23794.95178,Rs8679.189422291354,"541 Baldwin Orchard Apt. 917
Neilland, IL 40407",
3006,74682.22416,7.19809097,?,,39293.653,"$1,525,691.00 ","71906 Potter Turnpike Apt. 956
Port Matthew, MN 69112-7004",
3007,69379.23817,8.20738606,8.273386772,6.4,34612.76372,Rs24366.349280820246,"74689 Greer Stream Suite 365
West Matthew, TX 02902-3581",
3008,61431.82929,6.955535847,6.071830703,3.18,32912.04398,"$860,399.35 ","06597 Greene Corners Apt. 209
Port Timothyberg, MS 80455-5427",
3009,74085.68864,5.885577419,?,,32481.52177,Rs20989.089756709003,"0464 Bradley Ports Suite 645
Lanemouth, OR 49432",
3010,54204.81112,4.9464429,5.05618974,3.39,39735.06871,"$333,160.99 ","449 Doyle Field
Kingview, MA 00689-4705",
3011,60842.80445,5.731377655,8.115024462,3.2,45258.15871,Rs17062.415391954575,"73921 Cynthia Junctions
Port Kennethville, FM 58422",
3012,85429.46598,6.336769915,?,,36411.83456,"$1,594,748.12 ","63830 Jacob Prairie Apt. 334
Kristinashire, RI 38231",
3013,76602.89393,5.634388054,8.440490911,5.13,20927.43079,Rs19938.338977940413,"777 Hansen Isle
Vazquezfort, PW 27312",
3014,65629.88097,6.418471533,7.524874654,6.19,17609.19693,"$954,732.90 ","8519 Bill Point Apt. 668
Jennifertown, PW 47261",
3015,74227.49523,6.99067676,?,,25934.6492,Rs19022.609151990673,"1838 Robert Loaf
Elizabethstad, IA 77627-5234",
3016,79671.414,6.295516139,6.840125382,2.44,35953.15723,"$1,468,459.95 ","Unit 3667 Box 2267
DPO AE 61231",
3017,71816.27643,5.49448752,8.629268407,6.27,41178.26119,Rs21438.184377153717,"93115 Hernandez Freeway Suite 114
New Katherineton, OR 54277",
3018,54623.76529,5.844598703,?,,41939.51507,"$888,866.39 ","0080 Joseph Club
Port Amy, NC 28150-6291",
3019,61536.55722,6.670542907,6.994015904,2.15,29346.7209,Rs15351.224669391442,"74054 Young Forge Apt. 988
East Heather, AK 49274-2640",
3020,66357.52842,6.37806605,7.221474525,6.36,38072.28468,"$1,045,704.70 ","2074 Smith Springs Suite 338
Richardsonchester, OR 20535-4560",
3021,64957.92638,5.079228835,?,,49513.89643,Rs17055.47983447293,"65120 Reyes Tunnel Suite 330
West Rebeccaport, MS 37254",
3022,86895.59621,6.686490402,7.321513124,6.26,38042.73612,"$1,799,455.41 ","536 Phillips Fords Apt. 176
West Anthony, VA 58934",
3023,90533.31352,6.705843518,8.151471141,3.23,46610.73557,Rs26735.566402896467,"91071 Denise Freeway Suite 888
Melissaland, TX 63704-8729",
3024,65939.88495,7.47810445,?,,29620.83953,"$1,492,612.19 ","57193 Mary Inlet
South Sarah, ND 33659-6734",
3025,56505.8278,5.300533643,7.795375,3.43,30995.48817,Rs13019.756224510604,"770 Cole Rest
Lunafurt, FL 70678-5139",0.27292771
3026,60564.05153,5.666158556,8.382339218,5.03,49574.10417,"$1,247,002.16 ","435 Javier Corner
Cynthiafurt, IL 83098",
3027,78606.74714,7.031773829,?,,51235.58929,Rs19022.428461829502,"41964 Christopher Station Suite 009
Flowersfort, DE 95607",
3028,72747.12903,5.665250632,6.783121452,3.35,35060.34863,"$1,171,989.72 ","0848 Keith Mill
Waltonside, CA 81957-8915",
3029,76193.71636,5.996661954,7.909545202,4.18,26736.096,Rs18278.79935912407,"32090 Robert Square Apt. 919
New Nicholehaven, KS 16741",
3030,70912.89173,5.354226921,?,,20797.82193,"$1,083,071.56 ","84121 Ward Ford Suite 273
Hoffmanport, MN 83454",
3031,81922.74753,6.134660958,6.720772557,2.01,21677.01339,Rs14208.746979678168,"446 Mills Route
South Cassandraburgh, AK 29833",
3032,73312.88817,7.242393804,7.064878233,4.16,32256.70451,"$1,492,095.14 ","8380 Samantha Summit Suite 590
Hollyborough, TN 60032",
3033,48483.9423,6.082064754,?,,35848.08127,Rs12491.52917112488,"3964 Daniel Station
Jasontown, NH 71994",
3034,85009.06739,6.469294552,6.774243351,3.39,48601.79746,"$1,966,139.93 ","196 Kelley Loop Suite 005
Angeltown, ID 16902-5142",
3035,79029.46045,7.405166506,5.448580097,4.24,48607.09542,Rs20775.95958095151,"8367 Vanessa Pass
East Williamshire, MI 45548-5315",
3036,70301.23794,5.807494543,?,,49076.65438,"$1,280,588.34 ","390 Michael Port Suite 979
West Donna, MD 10261-3561",
3037,46339.90081,4.16897216,8.159537583,4.27,52123.99386,Rs11383.34203931725,"41866 Anderson Radial
Port Emilybury, FM 51150",
3038,68272.31965,4.079320164,7.983259576,4.05,30937.82848,"$978,824.60 ","36555 Hanson Alley
South Josestad, IL 91432",
3039,60285.60617,5.142414685,?,,27370.18572,Rs16980.723704469114,"537 Samantha Greens
Avilaton, PA 17089-7225",
3040,62671.7307,5.53792673,6.402028317,4.44,31702.71455,"$798,659.22 ","21986 Smith Path Suite 568
Deniseland, MO 01264",
3041,66615.88992,6.401788641,4.894203341,4.01,48604.07439,Rs14855.046267216827,"45643 Kennedy Rapid Suite 513
Warrenborough, PW 18980",
3042,78431.31041,4.559870598,?,,23623.30098,"$1,108,894.00 ","840 Perez Locks Apt. 873
Fischerview, NY 27017-1359",
3043,46646.71054,6.331878075,6.726795812,3.45,34006.8653,Rs9470.256186241371,"453 Tyler Prairie Apt. 400
Swansonton, VI 02880-4927",
3044,72405.47169,4.372603839,7.473793129,6.31,35062.88654,"$1,142,127.88 ","2313 Scott Oval Apt. 548
Lake Marc, NM 56060-8708",
3045,66225.9048,6.333788793,?,,44384.51974,Rs18376.927637633475,"99101 Tyler Islands
Newtonborough, AL 02663-1084",
3046,56106.35671,7.002809147,6.744228166,3.48,46002.90396,"$1,140,126.19 ","90378 Johnson Villages Apt. 922
Murraymouth, FL 94296-8379",
3047,65896.42207,5.831725358,6.586285834,2.2,34170.33666,Rs13321.958258325249,"8248 Sanford Fords Apt. 973
Christopherburgh, NM 32197",
3048,71601.64106,6.066999487,?,,34787.46537,"$1,289,201.39 ","2334 Morgan Highway Apt. 273
Brownland, SC 27143",
3049,57584.84524,6.235777366,4.674073564,2.12,46724.89921,Rs12975.970337967574,"5643 Jordan Keys
South Lindsayfort, KY 46709",
3050,65075.85776,6.721001606,8.103550071,6.26,30826.07821,"$1,511,653.45 ","46416 Anderson Brooks
Kathrynland, DE 39602",0.525029635
3051,69635.59875,6.721373834,?,,26312.35883,Rs15449.029359609074,"74700 Hardy Radial
East Lauraport, CA 80651",
3052,62829.04181,5.660218312,7.1419209,6.13,29277.53809,"$1,009,093.80 ","3751 Angela Drive Apt. 582
South Jasonchester, IN 48313",
3053,57093.5638,6.684657867,6.987216614,2.18,19379.02082,Rs11480.185947700811,"Unit 4757 Box 3874
DPO AA 60431-7818",
3054,72919.12901,5.386386504,?,,26625.13907,"$1,064,371.76 ","8562 Denise Garden Suite 588
Lake Luisbury, AZ 98355-7245",
3055,92774.67569,5.990648916,7.163240961,5.38,35016.45522,Rs25112.923247222352,"97943 Robbins Lodge
North Jessicaborough, FM 21168-1978",
3056,59443.2013,7.229017691,8.363863794,3.09,28100.31771,"$1,191,340.83 ","89675 Kelly Roads
New Richard, PA 14828-0201",
3057,71677.30733,5.234875252,?,,38736.902,Rs17337.378761635962,"9809 Carr Terrace Apt. 481
Austinfort, NJ 72675-4589",
3058,77620.92115,5.871168062,6.678357597,4.12,29115.68485,"$1,126,042.40 ","43829 Tonya Lake Apt. 645
New Carrie, CA 59152-5736",
3059,95236.13705,5.693896342,7.074092795,3.42,41524.5833,Rs24646.81477546668,"8493 Scott Greens Apt. 211
Saundersland, CT 88192",
3060,73145.48576,5.699428201,?,,31750.26767,"$1,072,874.61 ","5169 Walker Vista
East Nicolemouth, FL 44286-6762",
3061,62311.38775,5.492310439,5.69082542,4.23,51601.59401,Rs13588.369772685348,"59911 Anderson Corner
Hatfieldfurt, NY 23873",
3062,66854.38762,5.01648718,6.65222125,4.16,41382.7259,"$1,210,161.07 ","USNV Bowers
FPO AE 55109",
3063,70520.27278,6.62829804,?,,51639.30697,Rs20816.45510891808,"Unit 3833 Box 0744
DPO AA 72399",
3064,94241.82332,7.701205702,8.07153507,6.29,39139.57297,"$2,180,065.60 ","67636 Valerie Drive Apt. 521
Port Curtis, AZ 05188",
3065,83664.38976,4.950569548,7.654162707,4.3,39642.12993,Rs22206.869948297663,"634 James Ridge
Joannberg, OH 06034",
3066,62241.12414,5.294242885,?,,55613.37571,"$1,307,136.33 ","2452 Newton Land
Harrellfort, NC 21836-9924",
3067,74286.58229,7.101270018,6.336485313,2.44,33439.44416,Rs21389.435790354906,"8181 Lindsey Port Suite 426
Lambertchester, PW 76810",
3068,70217.78035,5.576018451,6.431351307,4.1,38779.34601,"$1,057,125.84 ","716 Morrison Springs Suite 374
New George, GA 21037-4111",
3069,35454.71466,6.855708364,?,,59636.40255,Rs14370.74103635096,"Unit 4700 Box 1880
DPO AP 18074",
3070,80707.40491,6.71487204,5.362668496,2.25,25433.30292,"$1,328,525.02 ","163 Pamela Landing
Fosterberg, WI 71392",
3071,54921.90981,4.818996769,6.134419623,3.09,49547.45563,Rs13570.340157694618,"028 Nelson Avenue
Lake Robertshire, MN 86622",
3072,67258.58756,6.370638426,?,,50955.57254,"$1,443,816.97 ","6846 Williamson Knolls Apt. 151
Dannytown, LA 95505-3099",
3073,77509.1378,6.120737116,7.35036172,5.46,18264.23005,Rs17626.800755758726,"8788 Durham Meadow
New Ashley, ND 80433-7740",
3074,57759.76528,5.437861629,6.100550699,3.29,49698.19872,"$1,064,939.52 ","02322 Lee Corners Suite 340
North Melissachester, NM 76673-2500",
3075,54234.38403,5.223595355,?,,37393.99871,Rs10247.225548327939,"284 Brewer Cove Suite 667
Dianestad, NC 60001",0.839544941
3076,63438.72757,5.640162344,9.151531303,6.12,32180.36047,"$1,244,563.27 ","06470 Mark Hill Apt. 141
Sarahberg, IA 52526-1002",
3077,40141.56648,5.055819675,7.398153931,4.46,53364.46288,Rs9923.880364280985,"359 Kevin Fall Suite 310
North Anitaton, NJ 95026",
3078,86197.02921,6.043554706,?,,44099.53527,"$1,879,416.22 ","16010 Susan Mission
Maryside, NE 15346-2597",
3079,75992.00382,5.040896433,6.984770177,3.17,39503.09807,Rs15089.309522604843,"PSC 4164, Box 8962
APO AA 52601",
3080,61482.9788,4.376969185,7.794518337,5.02,34993.8414,"$1,000,713.59 ","231 Herrera Alley Suite 803
Callahanmouth, SD 18566-2784",
3081,70256.36021,5.003684188,?,,45672.38999,Rs17508.375171144846,"535 Heidi Cliffs Apt. 629
New Williamtown, AL 63784",
3082,91328.09244,5.127415452,6.542597958,4.32,49530.00034,"$1,810,561.17 ","77477 Carolyn Station
Williamview, CT 43341-8573",
3083,75106.27744,7.212557777,8.06556841,5.5,41143.43774,Rs25030.250000288303,"PSC 6350, Box 8643
APO AP 35298",
3084,79908.15987,5.725050746,?,,40229.98785,"$1,495,672.59 ","8362 Barnes Roads Apt. 601
North Lisa, NC 31556",
3085,93763.11282,4.971603712,6.34099626,2.19,44047.91117,Rs22774.69469864962,"69956 Douglas Pine Suite 762
Johnsonfurt, AR 89807",
3086,50167.48628,7.559816059,7.358229667,3.08,34292.30694,"$1,058,356.18 ","5575 Lori Valley Suite 277
East Laurenshire, VI 63253",
3087,51391.64435,5.559525611,?,,28063.71796,Rs9081.198918876013,"58782 Johnson Mountains Suite 376
North Haley, GU 73562-3649",
3088,79823.40945,5.744808417,9.632403031,5.35,41545.61226,"$1,958,064.74 ","Unit 1980 Box 9388
DPO AP 60961",
3089,65913.86161,4.85783342,5.35501255,2.44,12450.57847,Rs4709.867395635892,"37279 Sherry Village Apt. 053
East Gary, NY 52576",
3090,69603.69066,7.433065419,?,,31337.78085,"$1,054,304.17 ","299 Hernandez Spurs
North Jenniferside, NC 36229",
3091,46367.20586,5.290720476,5.181613804,4.5,26015.29645,Rs3574.0108632468528,"USNS Knight
FPO AA 40555-2967",
3092,66195.33771,6.507971363,6.611861145,3.14,37288.92357,"$1,318,597.71 ","8367 Manuel Road
Nathanfort, AS 36077-1481",
3093,76899.282,5.347527265,?,,37825.7798,Rs17793.8323141265,"Unit 4084 Box 0083
DPO AP 37875-3153",
3094,54427.91151,7.190023019,7.332134662,3.03,54045.94271,"$1,598,736.40 ","4049 Marshall Court
North Richardchester, CA 72472-7881",
3095,82920.87837,6.171501482,7.146499889,4.27,33935.97227,Rs22666.03752597177,"96734 Taylor Valleys
New Jameston, VT 96626",
3096,47121.00996,6.714882023,?,,46303.46211,"$1,012,269.82 ","5216 Santos Fall Apt. 450
New Stephanie, CT 66218",
3097,74968.41732,4.709498404,6.556382369,3.08,28045.42214,Rs14580.080190008788,"61648 Sanchez Circles
Lake Leechester, LA 49969",
3098,68222.74258,6.309069335,7.057061921,6.22,32660.43971,"$1,064,703.31 ","005 Howard Court
South Samuel, ID 25951",
3099,61485.87399,5.871462161,?,,38179.7804,Rs15794.854493653533,"996 Maynard Canyon
West Joshua, MI 96703-1883",
3100,72894.73717,6.029107996,6.563053295,4.01,37796.05565,"$1,146,480.21 ","34284 James Spur
Tylerview, WV 81678-0964",0.974042036
3101,68254.59597,7.898190691,7.485572515,4.36,48908.77158,Rs25674.877877406547,"3900 Abigail Causeway Apt. 018
Andrewmouth, PA 26684",
3102,62088.7009,7.053111108,?,,38337.47841,"$1,233,882.56 ","284 Aguilar Coves
Aprilton, MT 95894-4681",
3103,60658.64833,4.537629827,6.440243236,3.49,45004.97002,Rs10969.138327755634,"USNS Ramirez
FPO AP 39441-7948",
3104,76321.06269,6.673099833,7.488046582,4.46,56696.5175,"$1,935,831.04 ","754 David Extension Suite 168
Port Johnmouth, NC 70098-8125",
3105,52141.35901,7.567152938,?,,29595.43143,Rs12167.80828225662,"4508 Nathan Turnpike
North Johnhaven, HI 10437-3329",
3106,75080.17356,5.96980058,7.215912137,5.35,50408.86017,"$1,636,906.29 ","PSC 4366, Box 3936
APO AA 04338",
3107,62117.45462,7.314992002,6.396100737,3.13,26295.43966,Rs15972.396575819952,"52186 Emily Meadow Apt. 818
Sarahview, GA 28318-5934",
3108,74253.44319,4.404914662,?,,44939.67256,"$1,039,794.77 ","0850 Jamie Extensions
Veronicaville, ID 52481",
3109,65561.45584,5.31942298,6.52610149,2.47,40231.69688,Rs13779.33519041486,"40771 Jonathan Prairie Suite 353
Jacquelineberg, ND 39043-7937",
3110,58124.42346,5.937759405,6.82234662,2.34,28863.86803,"$839,589.84 ","8131 Mercado Squares Apt. 377
Patrickton, GU 44349-3317",
3111,62159.22759,5.162849624,?,,36644.53024,Rs10437.339929372138,"804 Garcia Expressway Apt. 214
Lake Ian, MH 61019-6598",
3112,88722.95954,5.864465922,5.987424292,4.06,29896.67417,"$1,547,127.39 ","9388 Thompson Tunnel
West Keith, NM 14566",
3113,74791.01675,6.113429406,7.480408801,6.45,29153.79965,Rs20249.417105240336,"4536 Nathaniel Course
West Teresa, SC 77668",
3114,67305.62475,6.324094874,?,,39369.64412,"$1,074,456.40 ","642 Hawkins Fork Apt. 093
West Zachary, ID 72057",
3115,51195.89533,5.9914286,7.044419781,4.05,30028.62167,Rs8959.47526524007,"3198 Karen Crescent
East Michelemouth, WY 23908",
3116,63223.36961,4.944630706,8.087356625,3.32,35891.80616,"$1,185,734.96 ","1853 Barrett Corner Suite 517
Warnerburgh, GA 97586-3421",
3117,78788.43952,6.772487473,?,,38656.43139,Rs20246.05413802803,"737 Brenda Cape Apt. 645
Lambertburgh, TN 82080-7211",
3118,58367.69006,5.676386932,6.219390711,4.46,28800.90988,"$666,745.67 ","019 King Ranch
Robertstad, AS 69824",
3119,65149.89591,5.561847875,7.121417616,6.36,29190.88798,Rs13173.530080857607,"6548 Miller Glens
Robertsonville, GA 49810-7617",
3120,72416.4809,6.162244128,?,,6805.740783,"$997,452.50 ","75158 Michael Pike
Orozcobury, CA 40636",
3121,81374.67105,6.594022951,8.386460431,4.09,38647.50306,Rs23884.096547960402,"935 Edward Pike Suite 106
Andrewchester, PR 85454",
3122,70342.67105,4.555560605,7.309919375,6.34,34970.8158,"$1,223,589.05 ","2798 Cherry Shoal Apt. 496
West Brittanyfurt, VI 28505",
3123,68966.97557,4.999247837,?,,39917.43412,Rs17616.76334096114,"298 Mccullough Creek Suite 896
Williamsbury, PW 67834",
3124,60104.12113,7.701145053,7.259001316,6.33,31781.92474,"$1,193,687.18 ","91450 Angela Extensions Suite 533
Shawnberg, MI 36404",
3125,55192.84986,5.953993576,6.672181063,4.07,36705.90669,Rs11202.783240552802,"523 Michael Orchard Suite 022
Monicaborough, OR 92185-9530",0.825259842
3126,68599.73827,6.674203658,?,,42548.11004,"$1,474,745.02 ","170 Jennifer Parkway
New Kathleenmouth, NY 68893",
3127,76611.88932,5.44775581,8.570526058,5.22,33001.91467,Rs20365.86289687987,"Unit 5313 Box 6256
DPO AP 04298-1024",
3128,45318.67418,5.709232968,6.925560994,2.36,47223.16427,"$802,048.45 ","06548 Barnes Alley
Colemanview, DE 24414",
3129,73714.16483,6.10737087,?,,30049.17001,Rs13559.475397245355,"3443 Murphy Shore
Lauriestad, NE 46924",
3130,59961.0953,6.735728991,6.09209959,3.49,31853.71173,"$1,051,230.00 ","7994 Kristin Circles Suite 061
Port Patricia, IA 00997",
3131,70444.46273,4.717135602,7.883996339,3.46,41919.58394,Rs16132.8580310832,"USS Wade
FPO AP 69783",
3132,66638.86604,7.97322039,?,,26641.70332,"$1,357,208.24 ","0754 Ray Meadow
West Jakestad, GU 55936-8825",
3133,73869.53552,6.396437855,7.506733034,5.46,25694.24731,Rs20184.621262770434,"PSC 7179, Box 7408
APO AE 33113",
3134,74112.79329,4.41258546,8.054621723,3.09,66995.47405,"$1,737,570.51 ","04976 Joel Plaza Suite 658
South Dominiqueland, MS 27646-5758",
3135,44180.46084,7.116575231,?,,30809.96748,Rs8178.278014583285,"PSC 0743, Box 2104
APO AP 51218",
3136,65279.34259,4.470479271,6.924873897,4.39,29971.89976,"$767,784.63 ","5699 Pittman Landing Suite 973
North Barbara, AS 42070-3571",
3137,63342.29146,5.594225849,8.166272153,3.19,31726.66848,Rs15755.51311428198,"85521 Erica Stream
Garyside, MI 32028-7341",
3138,77352.6376,9.008900092,?,,39667.50726,"$1,898,168.68 ","969 Robert Vista Suite 545
West Kelly, NC 31856-7083",
3139,76053.55143,6.999755804,5.449274802,3.49,45636.33004,Rs19623.78673568083,"209 Ricky Inlet
South Cristina, NY 71350",
3140,92669.58803,5.302770726,5.419235783,4.11,31467.48119,"$1,397,461.55 ","55868 Michael Forges Apt. 917
Websterberg, MI 71432",
3141,40748.65309,6.250398044,?,,46643.15684,Rs8859.537746498629,"59240 Roberto Route Suite 539
New Tony, MO 99038",
3142,68176.06978,5.43639597,7.812731256,3.42,32525.44517,"$1,128,252.82 ","848 Daniels Estate Apt. 334
East Shawn, NJ 17628",
